SÃ£O VENDELINO  código:431975

Descrição,Valor,Unidade
Total de endereços urbanos,637,endereços
Total de endereços rurais,295,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,636,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,528,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,636,domicílios
População residente ,1944,pessoas
População residente - Homens,994,pessoas
População residente - Mulheres,950,pessoas
População residente alfabetizada,1820,pessoas
População residente - cor ou raça - Branca,1838,pessoas
População residente - cor ou raça - Preta,9,pessoas
População residente - cor ou raça - Parda,88,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,17,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,32.087,Km²
Eleitorado,1626,Eleitores
PIB per capita a preços correntes,15764.81,Reais
Matrícula - Ensino fundamental - 2009,255,Matrículas
Matrícula - Ensino médio - 2009,111,Matrículas
Docentes - Ensino fundamental - 2009,25,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,857237800,Reais
Despesas orçamentárias empenhadas - Correntes,588376600,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399803800,Reais
Número de unidades locais,115,Unidades
Pessoal ocupado total,867,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

