SÃ£O VICENTE DO SUL  código:431980

Descrição,Valor,Unidade
Total de endereços urbanos,2839,endereços
Total de endereços rurais,1199,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,19,estabelecimentos
Domicílios particulares permanentes,2841,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2037,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2833,domicílios
População residente ,8440,pessoas
População residente - Homens,4206,pessoas
População residente - Mulheres,4234,pessoas
População residente alfabetizada,7343,pessoas
População residente - cor ou raça - Branca,6480,pessoas
População residente - cor ou raça - Preta,232,pessoas
População residente - cor ou raça - Parda,1717,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,332,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,1175.233,Km²
Eleitorado,6749,Eleitores
PIB per capita a preços correntes,11176.63,Reais
Matrícula - Ensino fundamental - 2009,1476,Matrículas
Matrícula - Ensino médio - 2009,487,Matrículas
Docentes - Ensino fundamental - 2009,88,Docentes
Docentes - Ensino médio - 2009,49,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,83,pessoas
Receitas orçamentárias realizadas - Correntes,1358149337,Reais
Despesas orçamentárias empenhadas - Correntes,1002674574,Reais
Valor do Fundo de Participação dos Municípios  - FPM,413889486,Reais
Número de unidades locais,260,Unidades
Pessoal ocupado total,1213,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

