SÃ©RIO  código:432045

Descrição,Valor,Unidade
Total de endereços urbanos,289,endereços
Total de endereços rurais,770,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,764,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,412,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,762,domicílios
População residente ,2281,pessoas
População residente - Homens,1190,pessoas
População residente - Mulheres,1091,pessoas
População residente alfabetizada,1936,pessoas
População residente - cor ou raça - Branca,2181,pessoas
População residente - cor ou raça - Preta,19,pessoas
População residente - cor ou raça - Parda,77,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,116,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,99.627,Km²
Eleitorado,2194,Eleitores
PIB per capita a preços correntes,10169.30,Reais
Matrícula - Ensino fundamental - 2009,325,Matrículas
Matrícula - Ensino médio - 2009,89,Matrículas
Docentes - Ensino fundamental - 2009,21,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,25,pessoas
Receitas orçamentárias realizadas - Correntes,783017899,Reais
Despesas orçamentárias empenhadas - Correntes,544126175,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,79,Unidades
Pessoal ocupado total,540,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

