TAPERA  código:432100

Descrição,Valor,Unidade
Total de endereços urbanos,3843,endereços
Total de endereços rurais,628,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,3527,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,3214,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3517,domicílios
População residente ,10448,pessoas
População residente - Homens,5093,pessoas
População residente - Mulheres,5355,pessoas
População residente alfabetizada,9261,pessoas
População residente - cor ou raça - Branca,9246,pessoas
População residente - cor ou raça - Preta,184,pessoas
População residente - cor ou raça - Parda,1006,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,112,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,179.663,Km²
Eleitorado,7850,Eleitores
PIB per capita a preços correntes,19029.79,Reais
Matrícula - Ensino fundamental - 2009,1373,Matrículas
Matrícula - Ensino médio - 2009,487,Matrículas
Docentes - Ensino fundamental - 2009,110,Docentes
Docentes - Ensino médio - 2009,61,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,145,pessoas
Receitas orçamentárias realizadas - Correntes,1719890228,Reais
Despesas orçamentárias empenhadas - Correntes,1310988031,Reais
Valor do Fundo de Participação dos Municípios  - FPM,510812339,Reais
Número de unidades locais,524,Unidades
Pessoal ocupado total,2828,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

