TAPES  código:432110

Descrição,Valor,Unidade
Total de endereços urbanos,7740,endereços
Total de endereços rurais,1041,endereços
Total de estabelecimentos de ensino,17,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,5788,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4990,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5757,domicílios
População residente ,16629,pessoas
População residente - Homens,8167,pessoas
População residente - Mulheres,8462,pessoas
População residente alfabetizada,14342,pessoas
População residente - cor ou raça - Branca,13050,pessoas
População residente - cor ou raça - Preta,1649,pessoas
População residente - cor ou raça - Parda,1874,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,371,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,13,pessoas
Área da unidade territorial,806.299,Km²
Eleitorado,13032,Eleitores
PIB per capita a preços correntes,10368.31,Reais
Matrícula - Ensino fundamental - 2009,3050,Matrículas
Matrícula - Ensino médio - 2009,673,Matrículas
Docentes - Ensino fundamental - 2009,167,Docentes
Docentes - Ensino médio - 2009,49,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,73,pessoas
Receitas orçamentárias realizadas - Correntes,2340375469,Reais
Despesas orçamentárias empenhadas - Correntes,2016354884,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797738353,Reais
Número de unidades locais,676,Unidades
Pessoal ocupado total,2646,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

