TAQUARA  código:432120

Descrição,Valor,Unidade
Total de endereços urbanos,20332,endereços
Total de endereços rurais,5001,endereços
Total de estabelecimentos de ensino,67,estabelecimentos
Total de estabelecimentos de saúde,56,estabelecimentos
Domicílios particulares permanentes,18505,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,10875,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,18432,domicílios
População residente ,54643,pessoas
População residente - Homens,26866,pessoas
População residente - Mulheres,27777,pessoas
População residente alfabetizada,47967,pessoas
População residente - cor ou raça - Branca,47218,pessoas
População residente - cor ou raça - Preta,2326,pessoas
População residente - cor ou raça - Parda,4902,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,494,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,51,pessoas
Área da unidade territorial,457.856,Km²
Eleitorado,38215,Eleitores
PIB per capita a preços correntes,9469.15,Reais
Matrícula - Ensino fundamental - 2009,8613,Matrículas
Matrícula - Ensino médio - 2009,2999,Matrículas
Docentes - Ensino fundamental - 2009,443,Docentes
Docentes - Ensino médio - 2009,185,Docentes
Estabelecimentos de Saúde SUS,19,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,581,pessoas
Receitas orçamentárias realizadas - Correntes,6132734425,Reais
Despesas orçamentárias empenhadas - Correntes,5355189702,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1462697718,Reais
Número de unidades locais,2710,Unidades
Pessoal ocupado total,13616,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

