TAQUARUÃ§U DO SUL  código:432132

Descrição,Valor,Unidade
Total de endereços urbanos,520,endereços
Total de endereços rurais,634,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,914,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,736,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,910,domicílios
População residente ,2966,pessoas
População residente - Homens,1517,pessoas
População residente - Mulheres,1449,pessoas
População residente alfabetizada,2549,pessoas
População residente - cor ou raça - Branca,2222,pessoas
População residente - cor ou raça - Preta,130,pessoas
População residente - cor ou raça - Parda,594,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,59,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,76.849,Km²
Eleitorado,2228,Eleitores
PIB per capita a preços correntes,12301.66,Reais
Matrícula - Ensino fundamental - 2009,437,Matrículas
Matrícula - Ensino médio - 2009,97,Matrículas
Docentes - Ensino fundamental - 2009,35,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,747757386,Reais
Despesas orçamentárias empenhadas - Correntes,574711934,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398936034,Reais
Número de unidades locais,107,Unidades
Pessoal ocupado total,360,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

