TAVARES  código:432135

Descrição,Valor,Unidade
Total de endereços urbanos,1719,endereços
Total de endereços rurais,1455,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1963,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,404,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1937,domicílios
População residente ,5351,pessoas
População residente - Homens,2777,pessoas
População residente - Mulheres,2574,pessoas
População residente alfabetizada,4310,pessoas
População residente - cor ou raça - Branca,4345,pessoas
População residente - cor ou raça - Preta,348,pessoas
População residente - cor ou raça - Parda,644,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,167,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,604.253,Km²
Eleitorado,4277,Eleitores
PIB per capita a preços correntes,9762.34,Reais
Matrícula - Ensino fundamental - 2009,766,Matrículas
Matrícula - Ensino médio - 2009,169,Matrículas
Docentes - Ensino fundamental - 2009,58,Docentes
Docentes - Ensino médio - 2009,20,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,41,pessoas
Receitas orçamentárias realizadas - Correntes,882217029,Reais
Despesas orçamentárias empenhadas - Correntes,718683015,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399819765,Reais
Número de unidades locais,144,Unidades
Pessoal ocupado total,709,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

