TERRA DE AREIA  código:432143

Descrição,Valor,Unidade
Total de endereços urbanos,3041,endereços
Total de endereços rurais,2306,endereços
Total de estabelecimentos de ensino,14,estabelecimentos
Total de estabelecimentos de saúde,19,estabelecimentos
Domicílios particulares permanentes,3314,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1372,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3309,domicílios
População residente ,9878,pessoas
População residente - Homens,4959,pessoas
População residente - Mulheres,4919,pessoas
População residente alfabetizada,8467,pessoas
População residente - cor ou raça - Branca,9007,pessoas
População residente - cor ou raça - Preta,320,pessoas
População residente - cor ou raça - Parda,537,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,232,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,141.773,Km²
Eleitorado,6663,Eleitores
PIB per capita a preços correntes,8054.91,Reais
Matrícula - Ensino fundamental - 2009,1469,Matrículas
Matrícula - Ensino médio - 2009,341,Matrículas
Docentes - Ensino fundamental - 2009,92,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,84,pessoas
Receitas orçamentárias realizadas - Correntes,1470207184,Reais
Despesas orçamentárias empenhadas - Correntes,1171899462,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531890081,Reais
Número de unidades locais,326,Unidades
Pessoal ocupado total,1503,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

