TEUTÃ´NIA  código:432145

Descrição,Valor,Unidade
Total de endereços urbanos,10250,endereços
Total de endereços rurais,1652,endereços
Total de estabelecimentos de ensino,34,estabelecimentos
Total de estabelecimentos de saúde,34,estabelecimentos
Domicílios particulares permanentes,9299,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,8886,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,9290,domicílios
População residente ,27272,pessoas
População residente - Homens,13523,pessoas
População residente - Mulheres,13749,pessoas
População residente alfabetizada,24918,pessoas
População residente - cor ou raça - Branca,25056,pessoas
População residente - cor ou raça - Preta,686,pessoas
População residente - cor ou raça - Parda,1477,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,111,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,178.625,Km²
Eleitorado,18390,Eleitores
PIB per capita a preços correntes,25078.58,Reais
Matrícula - Ensino fundamental - 2009,3547,Matrículas
Matrícula - Ensino médio - 2009,1100,Matrículas
Docentes - Ensino fundamental - 2009,226,Docentes
Docentes - Ensino médio - 2009,86,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,370,pessoas
Receitas orçamentárias realizadas - Correntes,4068729562,Reais
Despesas orçamentárias empenhadas - Correntes,2984059774,Reais
Valor do Fundo de Participação dos Municípios  - FPM,930807641,Reais
Número de unidades locais,1439,Unidades
Pessoal ocupado total,12119,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

