TIO HUGO  código:432146

Descrição,Valor,Unidade
Total de endereços urbanos,666,endereços
Total de endereços rurais,865,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,927,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,759,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,922,domicílios
População residente ,2724,pessoas
População residente - Homens,1372,pessoas
População residente - Mulheres,1352,pessoas
População residente alfabetizada,2399,pessoas
População residente - cor ou raça - Branca,2152,pessoas
População residente - cor ou raça - Preta,15,pessoas
População residente - cor ou raça - Parda,539,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,36,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,114.236,Km²
Eleitorado,2046,Eleitores
PIB per capita a preços correntes,17797.12,Reais
Matrícula - Ensino fundamental - 2009,360,Matrículas
Matrícula - Ensino médio - 2009,111,Matrículas
Docentes - Ensino fundamental - 2009,26,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,840031103,Reais
Despesas orçamentárias empenhadas - Correntes,667775027,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,151,Unidades
Pessoal ocupado total,572,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

