TORRES  código:432150

Descrição,Valor,Unidade
Total de endereços urbanos,24589,endereços
Total de endereços rurais,673,endereços
Total de estabelecimentos de ensino,31,estabelecimentos
Total de estabelecimentos de saúde,67,estabelecimentos
Domicílios particulares permanentes,12145,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,10053,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,12110,domicílios
População residente ,34656,pessoas
População residente - Homens,16835,pessoas
População residente - Mulheres,17821,pessoas
População residente alfabetizada,30703,pessoas
População residente - cor ou raça - Branca,31508,pessoas
População residente - cor ou raça - Preta,945,pessoas
População residente - cor ou raça - Parda,2009,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,396,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,27,pessoas
Área da unidade territorial,160.194,Km²
Eleitorado,24295,Eleitores
PIB per capita a preços correntes,11232.57,Reais
Matrícula - Ensino fundamental - 2009,5223,Matrículas
Matrícula - Ensino médio - 2009,1267,Matrículas
Docentes - Ensino fundamental - 2009,299,Docentes
Docentes - Ensino médio - 2009,97,Docentes
Estabelecimentos de Saúde SUS,13,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,544,pessoas
Receitas orçamentárias realizadas - Correntes,5470354541,Reais
Despesas orçamentárias empenhadas - Correntes,4570826138,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1063780161,Reais
Número de unidades locais,1955,Unidades
Pessoal ocupado total,8848,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

