TRAMANDAÃ­  código:432160

Descrição,Valor,Unidade
Total de endereços urbanos,38885,endereços
Total de endereços rurais,717,endereços
Total de estabelecimentos de ensino,32,estabelecimentos
Total de estabelecimentos de saúde,47,estabelecimentos
Domicílios particulares permanentes,13768,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,12124,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13716,domicílios
População residente ,41585,pessoas
População residente - Homens,20095,pessoas
População residente - Mulheres,21490,pessoas
População residente alfabetizada,36242,pessoas
População residente - cor ou raça - Branca,36855,pessoas
População residente - cor ou raça - Preta,1405,pessoas
População residente - cor ou raça - Parda,3128,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,473,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,29,pessoas
Área da unidade territorial,144.408,Km²
Eleitorado,28439,Eleitores
PIB per capita a preços correntes,8666.04,Reais
Matrícula - Ensino fundamental - 2009,7323,Matrículas
Matrícula - Ensino médio - 2009,1844,Matrículas
Docentes - Ensino fundamental - 2009,316,Docentes
Docentes - Ensino médio - 2009,93,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,687,pessoas
Receitas orçamentárias realizadas - Correntes,7692377852,Reais
Despesas orçamentárias empenhadas - Correntes,6914863612,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1196752673,Reais
Número de unidades locais,1933,Unidades
Pessoal ocupado total,8367,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

