TRAVESSEIRO  código:432162

Descrição,Valor,Unidade
Total de endereços urbanos,418,endereços
Total de endereços rurais,605,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,773,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,663,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,770,domicílios
População residente ,2314,pessoas
População residente - Homens,1171,pessoas
População residente - Mulheres,1143,pessoas
População residente alfabetizada,2116,pessoas
População residente - cor ou raça - Branca,2230,pessoas
População residente - cor ou raça - Preta,11,pessoas
População residente - cor ou raça - Parda,70,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,40,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,81.122,Km²
Eleitorado,2027,Eleitores
PIB per capita a preços correntes,13281.48,Reais
Matrícula - Ensino fundamental - 2009,230,Matrículas
Matrícula - Ensino médio - 2009,79,Matrículas
Docentes - Ensino fundamental - 2009,26,Docentes
Docentes - Ensino médio - 2009,8,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,803894119,Reais
Despesas orçamentárias empenhadas - Correntes,580452245,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,109,Unidades
Pessoal ocupado total,262,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

