TRIUNFO  código:432200

Descrição,Valor,Unidade
Total de endereços urbanos,7845,endereços
Total de endereços rurais,4254,endereços
Total de estabelecimentos de ensino,32,estabelecimentos
Total de estabelecimentos de saúde,22,estabelecimentos
Domicílios particulares permanentes,8619,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4423,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,8559,domicílios
População residente ,25793,pessoas
População residente - Homens,12933,pessoas
População residente - Mulheres,12860,pessoas
População residente alfabetizada,22196,pessoas
População residente - cor ou raça - Branca,22568,pessoas
População residente - cor ou raça - Preta,1129,pessoas
População residente - cor ou raça - Parda,1993,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,264,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,818.802,Km²
Eleitorado,18803,Eleitores
PIB per capita a preços correntes,181332.70,Reais
Matrícula - Ensino fundamental - 2009,4572,Matrículas
Matrícula - Ensino médio - 2009,1281,Matrículas
Docentes - Ensino fundamental - 2009,273,Docentes
Docentes - Ensino médio - 2009,99,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,385,pessoas
Receitas orçamentárias realizadas - Correntes,16733840500,Reais
Despesas orçamentárias empenhadas - Correntes,12160586200,Reais
Valor do Fundo de Participação dos Municípios  - FPM,879821800,Reais
Número de unidades locais,1172,Unidades
Pessoal ocupado total,11769,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

