TRÃªS ARROIOS  código:432163

Descrição,Valor,Unidade
Total de endereços urbanos,554,endereços
Total de endereços rurais,735,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,947,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,626,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,947,domicílios
População residente ,2855,pessoas
População residente - Homens,1428,pessoas
População residente - Mulheres,1427,pessoas
População residente alfabetizada,2635,pessoas
População residente - cor ou raça - Branca,2831,pessoas
População residente - cor ou raça - Preta,4,pessoas
População residente - cor ou raça - Parda,19,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,80,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,8,pessoas
Área da unidade territorial,148.583,Km²
Eleitorado,2337,Eleitores
PIB per capita a preços correntes,12827.87,Reais
Matrícula - Ensino fundamental - 2009,256,Matrículas
Matrícula - Ensino médio - 2009,117,Matrículas
Docentes - Ensino fundamental - 2009,20,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,11,pessoas
Receitas orçamentárias realizadas - Correntes,867840745,Reais
Despesas orçamentárias empenhadas - Correntes,640286415,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398999309,Reais
Número de unidades locais,95,Unidades
Pessoal ocupado total,315,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

