TRÃªS COROAS  código:432170

Descrição,Valor,Unidade
Total de endereços urbanos,8566,endereços
Total de endereços rurais,1692,endereços
Total de estabelecimentos de ensino,24,estabelecimentos
Total de estabelecimentos de saúde,13,estabelecimentos
Domicílios particulares permanentes,7883,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,5156,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7863,domicílios
População residente ,23848,pessoas
População residente - Homens,11837,pessoas
População residente - Mulheres,12011,pessoas
População residente alfabetizada,20961,pessoas
População residente - cor ou raça - Branca,20149,pessoas
População residente - cor ou raça - Preta,803,pessoas
População residente - cor ou raça - Parda,2777,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,106,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,185.540,Km²
Eleitorado,15902,Eleitores
PIB per capita a preços correntes,14681.01,Reais
Matrícula - Ensino fundamental - 2009,3466,Matrículas
Matrícula - Ensino médio - 2009,722,Matrículas
Docentes - Ensino fundamental - 2009,139,Docentes
Docentes - Ensino médio - 2009,36,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,341,pessoas
Receitas orçamentárias realizadas - Correntes,3727163700,Reais
Despesas orçamentárias empenhadas - Correntes,2735840133,Reais
Valor do Fundo de Participação dos Municípios  - FPM,930807641,Reais
Número de unidades locais,1368,Unidades
Pessoal ocupado total,12058,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

