TRÃªS FORQUILHAS  código:432183

Descrição,Valor,Unidade
Total de endereços urbanos,208,endereços
Total de endereços rurais,1243,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1011,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,553,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1005,domicílios
População residente ,2914,pessoas
População residente - Homens,1512,pessoas
População residente - Mulheres,1402,pessoas
População residente alfabetizada,2402,pessoas
População residente - cor ou raça - Branca,2566,pessoas
População residente - cor ou raça - Preta,228,pessoas
População residente - cor ou raça - Parda,106,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,95,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,217.390,Km²
Eleitorado,2736,Eleitores
PIB per capita a preços correntes,6952.06,Reais
Matrícula - Ensino fundamental - 2009,458,Matrículas
Matrícula - Ensino médio - 2009,109,Matrículas
Docentes - Ensino fundamental - 2009,49,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,25,pessoas
Receitas orçamentárias realizadas - Correntes,875072041,Reais
Despesas orçamentárias empenhadas - Correntes,625006887,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,48,Unidades
Pessoal ocupado total,319,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

