TRÃªS PALMEIRAS  código:432185

Descrição,Valor,Unidade
Total de endereços urbanos,1007,endereços
Total de endereços rurais,816,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1425,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1267,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1414,domicílios
População residente ,4381,pessoas
População residente - Homens,2210,pessoas
População residente - Mulheres,2171,pessoas
População residente alfabetizada,3659,pessoas
População residente - cor ou raça - Branca,2943,pessoas
População residente - cor ou raça - Preta,206,pessoas
População residente - cor ou raça - Parda,807,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,215,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,180.600,Km²
Eleitorado,3469,Eleitores
PIB per capita a preços correntes,13591.71,Reais
Matrícula - Ensino fundamental - 2009,685,Matrículas
Matrícula - Ensino médio - 2009,207,Matrículas
Docentes - Ensino fundamental - 2009,51,Docentes
Docentes - Ensino médio - 2009,21,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1028823807,Reais
Despesas orçamentárias empenhadas - Correntes,743563684,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917561,Reais
Número de unidades locais,179,Unidades
Pessoal ocupado total,491,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

