TRÃªS PASSOS  código:432190

Descrição,Valor,Unidade
Total de endereços urbanos,8604,endereços
Total de endereços rurais,1992,endereços
Total de estabelecimentos de ensino,45,estabelecimentos
Total de estabelecimentos de saúde,40,estabelecimentos
Domicílios particulares permanentes,8572,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,7276,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,8529,domicílios
População residente ,23965,pessoas
População residente - Homens,11751,pessoas
População residente - Mulheres,12214,pessoas
População residente alfabetizada,21459,pessoas
População residente - cor ou raça - Branca,21359,pessoas
População residente - cor ou raça - Preta,353,pessoas
População residente - cor ou raça - Parda,2184,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,484,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,18,pessoas
Área da unidade territorial,268.397,Km²
Eleitorado,18565,Eleitores
PIB per capita a preços correntes,14796.82,Reais
Matrícula - Ensino fundamental - 2009,3053,Matrículas
Matrícula - Ensino médio - 2009,1031,Matrículas
Docentes - Ensino fundamental - 2009,223,Docentes
Docentes - Ensino médio - 2009,94,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,290,pessoas
Receitas orçamentárias realizadas - Correntes,2983267168,Reais
Despesas orçamentárias empenhadas - Correntes,2434571851,Reais
Valor do Fundo de Participação dos Municípios  - FPM,930807641,Reais
Número de unidades locais,1084,Unidades
Pessoal ocupado total,5795,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

