TUPANCI DO SUL  código:432218

Descrição,Valor,Unidade
Total de endereços urbanos,276,endereços
Total de endereços rurais,431,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,535,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,334,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,533,domicílios
População residente ,1573,pessoas
População residente - Homens,816,pessoas
População residente - Mulheres,757,pessoas
População residente alfabetizada,1337,pessoas
População residente - cor ou raça - Branca,1355,pessoas
População residente - cor ou raça - Preta,57,pessoas
População residente - cor ou raça - Parda,108,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,81,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,135.115,Km²
Eleitorado,1273,Eleitores
PIB per capita a preços correntes,13442.25,Reais
Matrícula - Ensino fundamental - 2009,267,Matrículas
Matrícula - Ensino médio - 2009,44,Matrículas
Docentes - Ensino fundamental - 2009,28,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,641434857,Reais
Despesas orçamentárias empenhadas - Correntes,489268985,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399829632,Reais
Número de unidades locais,42,Unidades
Pessoal ocupado total,173,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

