TUPANCIRETÃ£  código:432220

Descrição,Valor,Unidade
Total de endereços urbanos,8103,endereços
Total de endereços rurais,2135,endereços
Total de estabelecimentos de ensino,24,estabelecimentos
Total de estabelecimentos de saúde,23,estabelecimentos
Domicílios particulares permanentes,7451,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6268,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7389,domicílios
População residente ,22281,pessoas
População residente - Homens,10864,pessoas
População residente - Mulheres,11417,pessoas
População residente alfabetizada,19338,pessoas
População residente - cor ou raça - Branca,17826,pessoas
População residente - cor ou raça - Preta,893,pessoas
População residente - cor ou raça - Parda,3420,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,469,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,45,pessoas
Área da unidade territorial,2251.869,Km²
Eleitorado,16720,Eleitores
PIB per capita a preços correntes,24447.60,Reais
Matrícula - Ensino fundamental - 2009,3872,Matrículas
Matrícula - Ensino médio - 2009,811,Matrículas
Docentes - Ensino fundamental - 2009,264,Docentes
Docentes - Ensino médio - 2009,57,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,324,pessoas
Receitas orçamentárias realizadas - Correntes,3318123101,Reais
Despesas orçamentárias empenhadas - Correntes,2789662940,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797836105,Reais
Número de unidades locais,828,Unidades
Pessoal ocupado total,3381,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

