TUPARENDI  código:432230

Descrição,Valor,Unidade
Total de endereços urbanos,2512,endereços
Total de endereços rurais,1380,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,16,estabelecimentos
Domicílios particulares permanentes,3068,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2729,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3061,domicílios
População residente ,8557,pessoas
População residente - Homens,4146,pessoas
População residente - Mulheres,4411,pessoas
População residente alfabetizada,7755,pessoas
População residente - cor ou raça - Branca,7848,pessoas
População residente - cor ou raça - Preta,24,pessoas
População residente - cor ou raça - Parda,678,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,140,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,10,pessoas
Área da unidade territorial,307.677,Km²
Eleitorado,7474,Eleitores
PIB per capita a preços correntes,14193.49,Reais
Matrícula - Ensino fundamental - 2009,989,Matrículas
Matrícula - Ensino médio - 2009,303,Matrículas
Docentes - Ensino fundamental - 2009,74,Docentes
Docentes - Ensino médio - 2009,28,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,91,pessoas
Receitas orçamentárias realizadas - Correntes,1288548951,Reais
Despesas orçamentárias empenhadas - Correntes,1024276474,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398966816,Reais
Número de unidades locais,344,Unidades
Pessoal ocupado total,1226,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

