TURUÃ§U  código:432232

Descrição,Valor,Unidade
Total de endereços urbanos,715,endereços
Total de endereços rurais,729,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,1074,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,538,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1067,domicílios
População residente ,3522,pessoas
População residente - Homens,1778,pessoas
População residente - Mulheres,1744,pessoas
População residente alfabetizada,3065,pessoas
População residente - cor ou raça - Branca,3149,pessoas
População residente - cor ou raça - Preta,133,pessoas
População residente - cor ou raça - Parda,227,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,143,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,253.636,Km²
Eleitorado,2903,Eleitores
PIB per capita a preços correntes,10680.89,Reais
Matrícula - Ensino fundamental - 2009,479,Matrículas
Matrícula - Ensino médio - 2009,207,Matrículas
Docentes - Ensino fundamental - 2009,34,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1033175630,Reais
Despesas orçamentárias empenhadas - Correntes,893457629,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,71,Unidades
Pessoal ocupado total,423,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

