UNIÃ£O DA SERRA  código:432235

Descrição,Valor,Unidade
Total de endereços urbanos,169,endereços
Total de endereços rurais,523,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,458,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,323,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,456,domicílios
População residente ,1487,pessoas
População residente - Homens,797,pessoas
População residente - Mulheres,690,pessoas
População residente alfabetizada,1356,pessoas
População residente - cor ou raça - Branca,1437,pessoas
População residente - cor ou raça - Preta,12,pessoas
População residente - cor ou raça - Parda,31,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,8,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,130.990,Km²
Eleitorado,1482,Eleitores
PIB per capita a preços correntes,19500.73,Reais
Matrícula - Ensino fundamental - 2009,140,Matrículas
Matrícula - Ensino médio - 2009,58,Matrículas
Docentes - Ensino fundamental - 2009,17,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,697419844,Reais
Despesas orçamentárias empenhadas - Correntes,522860716,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,68,Unidades
Pessoal ocupado total,240,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

