URUGUAIANA  código:432240

Descrição,Valor,Unidade
Total de endereços urbanos,42873,endereços
Total de endereços rurais,4294,endereços
Total de estabelecimentos de ensino,80,estabelecimentos
Total de estabelecimentos de saúde,106,estabelecimentos
Domicílios particulares permanentes,37422,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,34515,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,37155,domicílios
População residente ,125435,pessoas
População residente - Homens,61009,pessoas
População residente - Mulheres,64426,pessoas
População residente alfabetizada,108916,pessoas
População residente - cor ou raça - Branca,94279,pessoas
População residente - cor ou raça - Preta,5576,pessoas
População residente - cor ou raça - Parda,25033,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1889,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,117,pessoas
Área da unidade territorial,5715.791,Km²
Eleitorado,86462,Eleitores
PIB per capita a preços correntes,19245.69,Reais
Matrícula - Ensino fundamental - 2009,22478,Matrículas
Matrícula - Ensino médio - 2009,5693,Matrículas
Docentes - Ensino fundamental - 2009,1018,Docentes
Docentes - Ensino médio - 2009,325,Docentes
Estabelecimentos de Saúde SUS,27,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,2046,pessoas
Receitas orçamentárias realizadas - Correntes,12688144746,Reais
Despesas orçamentárias empenhadas - Correntes,10551720677,Reais
Valor do Fundo de Participação dos Municípios  - FPM,2260532840,Reais
Número de unidades locais,3663,Unidades
Pessoal ocupado total,20292,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

