VACARIA  código:432250

Descrição,Valor,Unidade
Total de endereços urbanos,23418,endereços
Total de endereços rurais,2040,endereços
Total de estabelecimentos de ensino,51,estabelecimentos
Total de estabelecimentos de saúde,116,estabelecimentos
Domicílios particulares permanentes,19835,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,18226,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,19779,domicílios
População residente ,61342,pessoas
População residente - Homens,30083,pessoas
População residente - Mulheres,31259,pessoas
População residente alfabetizada,53368,pessoas
População residente - cor ou raça - Branca,45755,pessoas
População residente - cor ou raça - Preta,2494,pessoas
População residente - cor ou raça - Parda,12325,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,487,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,54,pessoas
Área da unidade territorial,2123.683,Km²
Eleitorado,42572,Eleitores
PIB per capita a preços correntes,13458.46,Reais
Matrícula - Ensino fundamental - 2009,9394,Matrículas
Matrícula - Ensino médio - 2009,2314,Matrículas
Docentes - Ensino fundamental - 2009,508,Docentes
Docentes - Ensino médio - 2009,144,Docentes
Estabelecimentos de Saúde SUS,15,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,978,pessoas
Receitas orçamentárias realizadas - Correntes,7404375116,Reais
Despesas orçamentárias empenhadas - Correntes,6143671107,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1596543848,Reais
Número de unidades locais,2191,Unidades
Pessoal ocupado total,16496,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

