VENÃ¢NCIO AIRES  código:432260

Descrição,Valor,Unidade
Total de endereços urbanos,18624,endereços
Total de endereços rurais,10537,endereços
Total de estabelecimentos de ensino,109,estabelecimentos
Total de estabelecimentos de saúde,68,estabelecimentos
Domicílios particulares permanentes,23011,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,16749,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,22955,domicílios
População residente ,65946,pessoas
População residente - Homens,32643,pessoas
População residente - Mulheres,33303,pessoas
População residente alfabetizada,58897,pessoas
População residente - cor ou raça - Branca,58682,pessoas
População residente - cor ou raça - Preta,3207,pessoas
População residente - cor ou raça - Parda,3799,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,796,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,38,pessoas
Área da unidade territorial,773.244,Km²
Eleitorado,48285,Eleitores
PIB per capita a preços correntes,17829.52,Reais
Matrícula - Ensino fundamental - 2009,8925,Matrículas
Matrícula - Ensino médio - 2009,2202,Matrículas
Docentes - Ensino fundamental - 2009,587,Docentes
Docentes - Ensino médio - 2009,192,Docentes
Estabelecimentos de Saúde SUS,23,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,758,pessoas
Receitas orçamentárias realizadas - Correntes,8335299647,Reais
Despesas orçamentárias empenhadas - Correntes,6649697412,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1595625373,Reais
Número de unidades locais,2944,Unidades
Pessoal ocupado total,15792,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

