VERA CRUZ  código:432270

Descrição,Valor,Unidade
Total de endereços urbanos,5863,endereços
Total de endereços rurais,4369,endereços
Total de estabelecimentos de ensino,40,estabelecimentos
Total de estabelecimentos de saúde,20,estabelecimentos
Domicílios particulares permanentes,8001,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,7223,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7972,domicílios
População residente ,23983,pessoas
População residente - Homens,11749,pessoas
População residente - Mulheres,12234,pessoas
População residente alfabetizada,21254,pessoas
População residente - cor ou raça - Branca,20286,pessoas
População residente - cor ou raça - Preta,1576,pessoas
População residente - cor ou raça - Parda,1875,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,319,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,309.622,Km²
Eleitorado,16633,Eleitores
PIB per capita a preços correntes,12404.71,Reais
Matrícula - Ensino fundamental - 2009,3396,Matrículas
Matrícula - Ensino médio - 2009,884,Matrículas
Docentes - Ensino fundamental - 2009,219,Docentes
Docentes - Ensino médio - 2009,63,Docentes
Estabelecimentos de Saúde SUS,14,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,256,pessoas
Receitas orçamentárias realizadas - Correntes,3346919447,Reais
Despesas orçamentárias empenhadas - Correntes,2601335149,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797835124,Reais
Número de unidades locais,915,Unidades
Pessoal ocupado total,4720,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

