VIADUTOS  código:432290

Descrição,Valor,Unidade
Total de endereços urbanos,1228,endereços
Total de endereços rurais,1006,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1758,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1028,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1747,domicílios
População residente ,5311,pessoas
População residente - Homens,2620,pessoas
População residente - Mulheres,2691,pessoas
População residente alfabetizada,4800,pessoas
População residente - cor ou raça - Branca,4783,pessoas
População residente - cor ou raça - Preta,21,pessoas
População residente - cor ou raça - Parda,501,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,177,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,268.360,Km²
Eleitorado,4768,Eleitores
PIB per capita a preços correntes,10539.67,Reais
Matrícula - Ensino fundamental - 2009,620,Matrículas
Matrícula - Ensino médio - 2009,217,Matrículas
Docentes - Ensino fundamental - 2009,47,Docentes
Docentes - Ensino médio - 2009,23,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,45,pessoas
Receitas orçamentárias realizadas - Correntes,973698289,Reais
Despesas orçamentárias empenhadas - Correntes,668488011,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398999313,Reais
Número de unidades locais,179,Unidades
Pessoal ocupado total,583,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

