VIAMÃ£O  código:432300

Descrição,Valor,Unidade
Total de endereços urbanos,87707,endereços
Total de endereços rurais,8692,endereços
Total de estabelecimentos de ensino,139,estabelecimentos
Total de estabelecimentos de saúde,81,estabelecimentos
Domicílios particulares permanentes,75516,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,67718,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,75286,domicílios
População residente ,239384,pessoas
População residente - Homens,116483,pessoas
População residente - Mulheres,122901,pessoas
População residente alfabetizada,208779,pessoas
População residente - cor ou raça - Branca,179284,pessoas
População residente - cor ou raça - Preta,28059,pessoas
População residente - cor ou raça - Parda,30215,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,2033,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,81,pessoas
Área da unidade territorial,1497.023,Km²
Eleitorado,149260,Eleitores
PIB per capita a preços correntes,6704.06,Reais
Matrícula - Ensino fundamental - 2009,41482,Matrículas
Matrícula - Ensino médio - 2009,8915,Matrículas
Docentes - Ensino fundamental - 2009,1441,Docentes
Docentes - Ensino médio - 2009,472,Docentes
Estabelecimentos de Saúde SUS,34,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,2320,pessoas
Receitas orçamentárias realizadas - Correntes,18892338010,Reais
Despesas orçamentárias empenhadas - Correntes,14593872119,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3641051338,Reais
Número de unidades locais,4602,Unidades
Pessoal ocupado total,21873,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

