VICENTE DUTRA  código:432310

Descrição,Valor,Unidade
Total de endereços urbanos,1227,endereços
Total de endereços rurais,1167,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1718,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1219,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1694,domicílios
População residente ,5285,pessoas
População residente - Homens,2701,pessoas
População residente - Mulheres,2584,pessoas
População residente alfabetizada,4368,pessoas
População residente - cor ou raça - Branca,4271,pessoas
População residente - cor ou raça - Preta,36,pessoas
População residente - cor ou raça - Parda,866,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,240,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,195.045,Km²
Eleitorado,4347,Eleitores
PIB per capita a preços correntes,9985.38,Reais
Matrícula - Ensino fundamental - 2009,894,Matrículas
Matrícula - Ensino médio - 2009,197,Matrículas
Docentes - Ensino fundamental - 2009,64,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,69,pessoas
Receitas orçamentárias realizadas - Correntes,895007165,Reais
Despesas orçamentárias empenhadas - Correntes,755851191,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917527,Reais
Número de unidades locais,92,Unidades
Pessoal ocupado total,334,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

