VILA LÃ¢NGARO  código:432335

Descrição,Valor,Unidade
Total de endereços urbanos,199,endereços
Total de endereços rurais,663,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,679,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,567,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,678,domicílios
População residente ,2152,pessoas
População residente - Homens,1123,pessoas
População residente - Mulheres,1029,pessoas
População residente alfabetizada,1932,pessoas
População residente - cor ou raça - Branca,1892,pessoas
População residente - cor ou raça - Preta,72,pessoas
População residente - cor ou raça - Parda,183,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,36,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,152.172,Km²
Eleitorado,2054,Eleitores
PIB per capita a preços correntes,18871.95,Reais
Matrícula - Ensino fundamental - 2009,329,Matrículas
Matrícula - Ensino médio - 2009,84,Matrículas
Docentes - Ensino fundamental - 2009,28,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,809659614,Reais
Despesas orçamentárias empenhadas - Correntes,583861759,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,54,Unidades
Pessoal ocupado total,245,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

