VILA MARIA  código:432340

Descrição,Valor,Unidade
Total de endereços urbanos,1085,endereços
Total de endereços rurais,716,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,1343,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1215,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1343,domicílios
População residente ,4221,pessoas
População residente - Homens,2116,pessoas
População residente - Mulheres,2105,pessoas
População residente alfabetizada,3871,pessoas
População residente - cor ou raça - Branca,3967,pessoas
População residente - cor ou raça - Preta,81,pessoas
População residente - cor ou raça - Parda,166,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,37,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,181.440,Km²
Eleitorado,3229,Eleitores
PIB per capita a preços correntes,23663.61,Reais
Matrícula - Ensino fundamental - 2009,481,Matrículas
Matrícula - Ensino médio - 2009,174,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,31,pessoas
Receitas orçamentárias realizadas - Correntes,1167911727,Reais
Despesas orçamentárias empenhadas - Correntes,862899513,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917559,Reais
Número de unidades locais,215,Unidades
Pessoal ocupado total,1081,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

