VISTA ALEGRE  código:432350

Descrição,Valor,Unidade
Total de endereços urbanos,538,endereços
Total de endereços rurais,597,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,883,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,526,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,875,domicílios
População residente ,2832,pessoas
População residente - Homens,1400,pessoas
População residente - Mulheres,1432,pessoas
População residente alfabetizada,2459,pessoas
População residente - cor ou raça - Branca,2408,pessoas
População residente - cor ou raça - Preta,83,pessoas
População residente - cor ou raça - Parda,313,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,94,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,77.455,Km²
Eleitorado,2136,Eleitores
PIB per capita a preços correntes,12615.81,Reais
Matrícula - Ensino fundamental - 2009,437,Matrículas
Matrícula - Ensino médio - 2009,118,Matrículas
Docentes - Ensino fundamental - 2009,33,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,730087378,Reais
Despesas orçamentárias empenhadas - Correntes,583063809,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917644,Reais
Número de unidades locais,103,Unidades
Pessoal ocupado total,329,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

