WESTFÃ¡LIA  código:432377

Descrição,Valor,Unidade
Total de endereços urbanos,520,endereços
Total de endereços rurais,575,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,867,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,655,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,866,domicílios
População residente ,2793,pessoas
População residente - Homens,1406,pessoas
População residente - Mulheres,1387,pessoas
População residente alfabetizada,2607,pessoas
População residente - cor ou raça - Branca,2696,pessoas
População residente - cor ou raça - Preta,34,pessoas
População residente - cor ou raça - Parda,62,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,15,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,63.998,Km²
Eleitorado,2232,Eleitores
PIB per capita a preços correntes,24948.29,Reais
Matrícula - Ensino fundamental - 2009,373,Matrículas
Matrícula - Ensino médio - 2009,103,Matrículas
Docentes - Ensino fundamental - 2009,34,Docentes
Docentes - Ensino médio - 2009,7,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1082183329,Reais
Despesas orçamentárias empenhadas - Correntes,748642744,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398978858,Reais
Número de unidades locais,87,Unidades
Pessoal ocupado total,1129,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

