XANGRI-LÃ¡  código:432380

Descrição,Valor,Unidade
Total de endereços urbanos,17284,endereços
Total de endereços rurais,46,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,3862,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,3393,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3856,domicílios
População residente ,12434,pessoas
População residente - Homens,6199,pessoas
População residente - Mulheres,6235,pessoas
População residente alfabetizada,10854,pessoas
População residente - cor ou raça - Branca,11006,pessoas
População residente - cor ou raça - Preta,605,pessoas
População residente - cor ou raça - Parda,760,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,97,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,60.688,Km²
Eleitorado,6423,Eleitores
PIB per capita a preços correntes,12804.91,Reais
Matrícula - Ensino fundamental - 2009,2022,Matrículas
Matrícula - Ensino médio - 2009,409,Matrículas
Docentes - Ensino fundamental - 2009,113,Docentes
Docentes - Ensino médio - 2009,20,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,3719045474,Reais
Despesas orçamentárias empenhadas - Correntes,3365004744,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531890081,Reais
Número de unidades locais,906,Unidades
Pessoal ocupado total,3237,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

