ÃGUA SANTA  código:430005

Descrição,Valor,Unidade
Total de endereços urbanos,688,endereços
Total de endereços rurais,837,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,1165,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,556,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1163,domicílios
População residente ,3722,pessoas
População residente - Homens,1879,pessoas
População residente - Mulheres,1843,pessoas
População residente alfabetizada,3277,pessoas
População residente - cor ou raça - Branca,3085,pessoas
População residente - cor ou raça - Preta,48,pessoas
População residente - cor ou raça - Parda,344,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,64,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,13,pessoas
Área da unidade territorial,291.793,Km²
Eleitorado,2857,Eleitores
PIB per capita a preços correntes,22394.54,Reais
Matrícula - Ensino fundamental - 2009,495,Matrículas
Matrícula - Ensino médio - 2009,159,Matrículas
Docentes - Ensino fundamental - 2009,52,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,26,pessoas
Receitas orçamentárias realizadas - Correntes,991567825,Reais
Despesas orçamentárias empenhadas - Correntes,746630659,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399729862,Reais
Número de unidades locais,167,Unidades
Pessoal ocupado total,551,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

